Sensor S/N;YYYY-MM-DDThh:mm:ss (UTC);Value;Unit;Status
E80A0600102E;2026-06-12T16:04:20Z;5.53;°C;
E80A0600102E;2026-06-12T16:05:20Z;5.47;°C;
E80A0600102E;2026-06-12T16:06:20Z;5.47;°C;
E80A0600102E;2026-06-12T16:07:20Z;5.41;°C;
E80A0600102E;2026-06-12T16:08:20Z;5.34;°C;
E80A0600102E;2026-06-12T16:09:20Z;5.28;°C;
E80A0600102E;2026-06-12T16:10:20Z;5.28;°C;
E80A0600102E;2026-06-12T16:11:20Z;5.22;°C;
E80A0600102E;2026-06-12T16:12:20Z;5.16;°C;
E80A0600102E;2026-06-12T16:13:20Z;5.09;°C;
E80A0600102E;2026-06-12T16:14:20Z;5.03;°C;
E80A0600102E;2026-06-12T16:15:20Z;5.03;°C;
E80A0600102E;2026-06-12T16:16:20Z;4.91;°C;
E80A0600102E;2026-06-12T16:17:20Z;4.84;°C;
E80A0600102E;2026-06-12T16:18:20Z;4.84;°C;
E80A0600102E;2026-06-12T16:19:20Z;4.78;°C;
E80A0600102E;2026-06-12T16:20:20Z;4.72;°C;
E80A0600102E;2026-06-12T16:21:20Z;4.66;°C;
E80A0600102E;2026-06-12T16:22:20Z;4.59;°C;
E80A0600102E;2026-06-12T16:23:20Z;4.59;°C;
E80A0600102E;2026-06-12T16:24:20Z;4.84;°C;
E80A0600102E;2026-06-12T16:25:20Z;6.78;°C;
E80A0600102E;2026-06-12T16:26:20Z;8.66;°C;
E80A0600102E;2026-06-12T16:27:20Z;10.41;°C;
E80A0600102E;2026-06-12T16:28:20Z;12.28;°C;
E80A0600102E;2026-06-12T16:29:20Z;13.78;°C;
E80A0600102E;2026-06-12T16:30:20Z;14.84;°C;
E80A0600102E;2026-06-12T16:31:20Z;15.66;°C;
E80A0600102E;2026-06-12T16:32:20Z;16.28;°C;
E80A0600102E;2026-06-12T16:33:20Z;16.78;°C;
E80A0600102E;2026-06-12T16:34:20Z;17.28;°C;
E80A0600102E;2026-06-12T16:35:20Z;17.72;°C;
E80A0600102E;2026-06-12T16:36:20Z;18.16;°C;
E80A0600102E;2026-06-12T16:37:20Z;18.53;°C;
E80A0600102E;2026-06-12T16:38:20Z;18.84;°C;
E80A0600102E;2026-06-12T16:39:20Z;19.22;°C;
E80A0600102E;2026-06-12T16:40:20Z;19.53;°C;
E80A0600102E;2026-06-12T16:41:20Z;19.84;°C;
E80A0600102E;2026-06-12T16:42:20Z;20.09;°C;
E80A0600102E;2026-06-12T16:43:20Z;20.41;°C;
E80A0600102E;2026-06-12T16:44:20Z;20.66;°C;
E80A0600102E;2026-06-12T18:06:28Z;18.41;°C;
E80A0600102E;2026-06-12T18:07:28Z;17.28;°C;
E80A0600102E;2026-06-12T18:08:28Z;16.28;°C;
E80A0600102E;2026-06-12T18:09:28Z;15.34;°C;
E80A0600102E;2026-06-12T18:10:28Z;14.53;°C;
E80A0600102E;2026-06-12T18:11:28Z;13.78;°C;
E80A0600102E;2026-06-12T18:12:28Z;13.09;°C;
E80A0600102E;2026-06-12T18:13:28Z;12.47;°C;
E80A0600102E;2026-06-12T18:14:28Z;11.91;°C;
E80A0600102E;2026-06-12T18:15:28Z;11.34;°C;
E80A0600102E;2026-06-12T18:16:28Z;10.84;°C;
E80A0600102E;2026-06-12T18:17:28Z;10.41;°C;
E80A0600102E;2026-06-12T18:18:28Z;9.97;°C;
E80A0600102E;2026-06-12T18:19:28Z;9.72;°C;
E80A0600102E;2026-06-12T18:20:28Z;9.66;°C;
E80A0600102E;2026-06-12T18:21:28Z;9.59;°C;
E80A0600102E;2026-06-12T18:22:28Z;9.53;°C;
E80A0600102E;2026-06-12T18:23:28Z;9.47;°C;
E80A0600102E;2026-06-12T18:24:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:25:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:26:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:27:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:28:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:29:28Z;9.47;°C;
E80A0600102E;2026-06-12T18:30:28Z;9.41;°C;
E80A0600102E;2026-06-12T18:31:28Z;9.34;°C;
E80A0600102E;2026-06-12T18:32:28Z;9.28;°C;
E80A0600102E;2026-06-12T18:33:28Z;9.22;°C;
E80A0600102E;2026-06-12T18:34:28Z;9.16;°C;
E80A0600102E;2026-06-12T18:35:28Z;9.09;°C;
E80A0600102E;2026-06-12T18:36:28Z;8.97;°C;
E80A0600102E;2026-06-12T18:37:28Z;8.91;°C;
E80A0600102E;2026-06-12T18:38:28Z;8.84;°C;
E80A0600102E;2026-06-12T18:39:28Z;8.78;°C;
E80A0600102E;2026-06-12T18:40:28Z;8.72;°C;
E80A0600102E;2026-06-12T18:41:28Z;8.66;°C;
E80A0600102E;2026-06-12T18:42:28Z;8.59;°C;
E80A0600102E;2026-06-12T18:43:28Z;8.47;°C;
E80A0600102E;2026-06-12T18:44:28Z;8.34;°C;
E80A0600102E;2026-06-12T18:45:28Z;8.28;°C;
E80A0600102E;2026-06-12T18:46:28Z;8.09;°C;
E80A0600102E;2026-06-12T18:47:28Z;8.03;°C;
E80A0600102E;2026-06-12T18:48:28Z;7.84;°C;
E80A0600102E;2026-06-12T18:49:28Z;7.78;°C;
E80A0600102E;2026-06-12T18:50:28Z;7.66;°C;
E80A0600102E;2026-06-12T18:51:28Z;7.53;°C;
E80A0600102E;2026-06-12T18:52:28Z;7.41;°C;
E80A0600102E;2026-06-12T18:53:28Z;7.28;°C;
E80A0600102E;2026-06-12T18:54:28Z;7.16;°C;
E80A0600102E;2026-06-12T18:55:28Z;7.03;°C;
E80A0600102E;2026-06-12T18:56:28Z;6.97;°C;
E80A0600102E;2026-06-12T18:57:28Z;6.84;°C;
E80A0600102E;2026-06-12T18:58:28Z;6.72;°C;
E80A0600102E;2026-06-12T18:59:28Z;6.59;°C;
E80A0600102E;2026-06-12T19:00:28Z;6.53;°C;
E80A0600102E;2026-06-12T19:01:28Z;6.41;°C;
E80A0600102E;2026-06-12T19:02:28Z;6.28;°C;
E80A0600102E;2026-06-12T19:03:28Z;6.22;°C;
E80A0600102E;2026-06-12T19:04:28Z;6.09;°C;
E80A0600102E;2026-06-12T19:05:28Z;6.03;°C;
E80A0600102E;2026-06-12T19:06:28Z;5.97;°C;
E80A0600102E;2026-06-12T19:07:28Z;5.84;°C;
E80A0600102E;2026-06-12T19:08:28Z;5.72;°C;
E80A0600102E;2026-06-12T19:09:28Z;5.66;°C;
E80A0600102E;2026-06-12T19:10:28Z;5.66;°C;
E80A0600102E;2026-06-12T19:11:28Z;5.59;°C;
E80A0600102E;2026-06-12T19:12:28Z;5.53;°C;
E80A0600102E;2026-06-12T19:13:28Z;5.47;°C;
E80A0600102E;2026-06-12T19:14:28Z;5.47;°C;
E80A0600102E;2026-06-12T19:15:28Z;5.41;°C;
E80A0600102E;2026-06-12T19:16:28Z;5.34;°C;
E80A0600102E;2026-06-12T19:17:28Z;5.28;°C;
E80A0600102E;2026-06-12T19:18:28Z;5.22;°C;
E80A0600102E;2026-06-12T19:19:28Z;5.22;°C;
E80A0600102E;2026-06-12T19:20:28Z;5.16;°C;
E80A0600102E;2026-06-12T19:21:28Z;5.09;°C;
E80A0600102E;2026-06-12T19:22:28Z;5.03;°C;
E80A0600102E;2026-06-12T19:23:28Z;5.03;°C;
E80A0600102E;2026-06-12T19:24:28Z;4.97;°C;
E80A0600102E;2026-06-12T19:25:28Z;4.91;°C;
E80A0600102E;2026-06-12T19:26:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:27:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:28:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:29:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:30:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:31:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:32:28Z;4.84;°C;
